 (Half Day),（半天）
Setting up Employees,创建员工
Setting up Global Search documents.,设置全局搜索单据
Setting up Taxes,设置税码及税费规则
Setting up your system,设置您的系统
Setting Value,默认值
Settings & Configurations,设置
Settings for About Us Page.,关于我们页面的设置。
Settings for Accounts,科目设置
Settings for Buying Module,采购模块的设置
Settings for Contact Us Page,联系我们页面的设置
Settings for Contact Us Page.,联系我们页面的设置。
Settings for OAuth Provider,对OAuth的提供商设置
Settings for Selling Module,销售模块设置
Settings for the About Us Page,关于我们页面的设置
Settings for website homepage,对网站的主页设置
Settings for website product listing,网站产品列表的设置
Settings,设置
Settings...,设置...
Settled,已结清
Setup &gt; Customize Form,设置&gt;定制表单
Setup &gt; User Permissions,设置&gt;用户权限
Setup &gt; User,设置&gt;用户
Setup a Warehouse,设置仓库
Setup Auto Email,设置电子邮件自动发送
Setup cheque dimensions for printing,设置检查尺寸打印
Setup Company,设置公司
Setup Complete,安装完成
Setup default values for POS Invoices,设置POS发票的默认值
Setup failed,始始化失败
Setup for,设置
Setup Gateway accounts.,设置网关科目。
Setup Institution,设置机构
Setup mode of POS (Online / Offline),POS（在线/离线）的设置模式
Setup Notifications based on various criteria.,基于各种标准的设置通知。
Setup Progress Action,设置进度动作
Setup Progress,设置进度
Setup Reports to be emailed at regular intervals,设置通过电子邮件定期发送的报表
Setup Series for transactions,设置单据编号模板
Setup Series,设置单据编号模板
Setup SMS gateway settings,短信网关的设置
Setup Wizard,设置向导
Setup your ,设置你的
Setup your Institute in ERPNext,在ERPNext中设置您的研究所
Setup,设置
SG Creation Tool Course,SG创建工具课程
SGST Account,SGST账户
SGST Amount,SGST金额
Share Balance,剩余股份
Share Ledger,股份台账
Share Management,股份管理
Share this document with,分享给
Share Transfer,股份转让
Share Type,分享类型
Share URL,分享网址
Share With,分享
Share {0} with,分享给{0}
Share,分享
share,分享
Shared secret,共享秘密
Shared with everyone,分享给所有人
Shared with user {0} with read access,与用户{0}分享读取权限
Shared with {0},分享给了{0}
Shared With,分享
Shared,分享
Shareholder,股东
Shelf Life In Days,保质期天数
Shift & Attendance,班次与考勤
Shift Actual End,实际下班时间
Shift Actual Start,实际上班时间
Shift Assignment,班次分配
Shift End,下班
Shift Management,班次管理
Shift Request,工作班次申请
Shift Start,上班
Shift Type,班次
Shift,班次
Ship To State,送到州
Ship,船
Shipment Amount,运输货值
Shipment Delivery Note,出库单号
Shipment details,运输详情
Shipment ID,运输ID
Shipment Information,运输信息
Shipment Parcel Template,货运包裹模板
Shipment Parcel,运输包裹
Shipment Type,运输类型
Shipment,运单
Shipments,发货
Shipping Account,配送科目
Shipping Address Details,收货地址详情
Shipping Address Name,送货地址名称
Shipping Address Template,出货地址模板
Shipping Address,送货地址
Shipping Amount,配送费
Shipping Bill Date,运费发票日期
Shipping City,市（出货）
Shipping Country,国家（出货）
Shipping County,县（出货）
Shipping Rule Condition,配送规则条件
Shipping Rule Conditions,配送规则条件
Shipping Rule Country,出货规则国家
Shipping Rule Label,配送规则标签
Shipping rule not applicable for country {0},运费规则不适用于国家/地区{0}
Shipping rule only applicable for Buying,运费规则只适用于采购
Shipping rule only applicable for Selling,运费规则仅适用于销售
Shipping Rule Type,配送规则类型
Shipping Rule,配送规则
Shipping State,省（出货）
Shipping Zipcode,邮编（出货）
Shipping,送货
Shop URL,商店网址
Shop,商店
Shopify Log,Shopify日志
Shopify Settings,Shopify设置
Shopify Supplier,Shopify供应商
Shopify Tax Account,Shopify税收科目
Shopify Tax/Shipping Title,Shopify税/运输标题
Shopify Webhook Detail,Shopify Webhook详细信息
Shopping Cart Settings,购物车设置
Shopping Cart Shipping Rule,购物车配送规则
Shopping Cart,购物车
shopping-cart,购物车
Short biography for website and other publications.,在网站或其他出版物使用的个人简介
Short keyboard patterns are easy to guess,短键盘模式容易被猜中
Short Name,简称
Short Term Loan Account,短期借款科目
Short,短
Shortage Qty,短缺数量
Shortcuts,快捷方式
Show / Hide Cards Modules,显示/隐藏 模块卡
Show a description below the field,在此字段下显示说明
Show a slideshow at the top of the page,在页面顶部显示幻灯片
Show Ageing Warehouse-wise,按仓库显示库龄
Show all data,显示所有数据
Show all Versions,显示所有版本
Show Apply Coupon Code,显示使用优惠码
Show as cc,显示为CC
Show as Grid,显示为表格
Show Attachments,显示附件
Show Availability Status,显示可用性状态
Show Barcode Field in Stock Transactions,在库存交易记录中显示条形码字段
Show Barcode Field,显示条码扫描字段
Show Calendar,显示日历
Show Cancelled Entries,显示已冲销单据
Show Categories in Search Autocomplete,搜索框自动推荐信息中含产品类别
Show closed,显示关闭
Show Completed,显示已完成
Show Configure Button,显示配置按钮
Show Contact Us Button,显示联系我们按钮
Show Cumulative Amount,显示累计金额
Show Dashboard,显示数据面板
Show Days,显示天
Show Delivery Notes,显示销售出库
Show Employee,显示员工
Show exploded view,显示BOM底层物料
Show Failed Jobs,显示执行出错了的后台任务
Show Failed Logs,显示出错信息
Show Full Error and Allow Reporting of Issues to the Developer,显示完整错误并允许向开发人员报告问题
Show Future Payments,显示报表日后付款
Show GL Balance,显示总账余额
Show in filter,在过滤条件中显示
Show in Module Section,模块主页中的显示位置
Show in Website (Variant),在网站上展示（规格）
Show In Website,在网站上展示
Show in Website,显示在网站上
Show Inclusive Tax In Print,在打印中显示包含税
Show Items,显示物料
Show Keyboard Shortcuts,显示键盘快捷键
Show Language Picker,显示语言选择框
Show Latest Forum Posts,显示最新的论坛帖子
Show Leaves Of All Department Members In Calendar,在日历中显示部门所有成员的休假
Show Likes,显示谁喜欢
Show Line Breaks after Sections,每个分节自动添加空行
Show Linked Delivery Notes,显示关联的销售出库
Show Log,显示日志
Show Marks,显示分数
Show More Activity,显示更多操作记录
Show more details,显示更多详情
Show Net Values in Party Account,显示往来单位净值
Show on Website,在网站上显示
Show only errors,只显示错误
Show Only Exact Amount,仅显示金额匹配的凭证
Show only POS,只显示POS
Show Open,显示未完成
Show open,显示未完成
Show Opening Entries,显示开账分录
Show Operations,显示工序
Show Pay Button in Purchase Order Portal,在门户网站采购订单详情界面显示付款按钮
Show Payment Details,显示付款详情
Show Payment Schedule in Print,打印付款计划
Show PDC in Print,在打印中显示部分支付
Show percentage difference according to this time interval,根据此频率显示百分比差异
Show Percentage Stats,显示统计百分比
Show Permissions,显示权限
Show Preview Popup,显示链接字段鼠标悬停预览弹窗
Show Price in Quotation,在报价单中显示价格
Show Price,显示价格
Show Print First,先显示打印
Show Processlist,显示数据库处理日志
Show Products as a List,以列表形式展示产品
Show Public Attachments,显示公共附件
Show Relapses,显示复发
Show Remarks,显示备注信息
Show Report,显示报表
Show Return Entries,显示退货单
Show Salary Slip,显示工资单
Show Sales Person in Print,打印业务员信息
Show Sales Person,显示业务员信息
Show Seconds,显示秒
Show Section Headings,显示节标题
Show Sidebar,显示侧边栏
Show Stock Ageing Data,显示库龄
Show Stock Availability,显示可用库存
Show Stock Quantity,显示库存数量
Show Tags,显示标签
Show tags,显示标签
Show Taxes as Table in Print,税以明细表形式打印输出
Show this slideshow at the top of the page,在页面顶部显示此幻灯片
Show Title in Link and Table MultiSelect Field,在链接和多选字段显示标题字段值
Show Title in Link Fields,在链接字段中以标题字段值显示
Show Title,显示标题
Show Totals,显示总计
Show unclosed fiscal year's P&L balances,显示未关闭财年损益余额
Show Users,显示用户
Show Variant Attributes,显示多规格物料属性
Show Variants,显示多规格物料
Show Warehouse-wise Stock,显示仓库级库存
Show Warnings,显示警告信息
Show Weekends,显示周末
Show zero values,显示零值
Show {0},显示{0}
Show,显示
show,显示
Showing only Numeric fields from Report,仅显示来自报表的数字字段
Sibling Details,亲属详情
Siblings,亲属
Sick Leave,病假
Sidebar and Comments,边栏和评论
Sidebar Items,边栏项目
Sidebar Settings,侧边栏设置
Sidebar,侧边栏
Sign in,登录
Sign Up is disabled,禁止注册
Sign Up,注册
Sign up,注册
Signatory Position,签名位置
Signature,签名
Signed On,签名日期
Signed,已签
Signee Details,签名信息
Signee,签署人
Sikkim,锡金
Silt Composition (%),粉尘成分（％）
Silt Loam,淤泥粘土
Silt,淤泥
